#epoch, step, actionA, actionB, reward_n, game_dif_score, playerA_score, playerB_score, epsilon
0,1786,0,25,0,-15,0,15,0.2
1,1786,0,31,0,-19,0,19,0.2
2,1786,0,31,0,-19,0,19,0.2
3,1786,0,31,0,-19,0,19,0.2
4,1786,0,31,0,-19,0,19,0.2
5,1786,0,31,0,-19,0,19,0.2
6,1786,0,31,0,-15,0,15,0.2
7,1786,0,31,0,-19,0,19,0.2
8,1786,0,31,0,-19,0,19,0.2
9,1786,0,31,0,-19,0,19,0.2
10,1786,0,31,0,-19,0,19,0.2
11,1786,0,31,0,-19,0,19,0.2
12,1786,0,31,0,-15,0,15,0.2
13,1786,0,31,0,-19,0,19,0.2
14,1786,0,31,0,-19,0,19,0.2
15,1786,0,31,0,-19,0,19,0.2
16,1786,0,31,0,-15,0,15,0.2
17,1786,0,31,0,-19,0,19,0.2
18,1786,0,31,0,-19,0,19,0.2
19,1786,0,31,0,-19,0,19,0.2
20,1786,0,31,0,-19,0,19,0.2
21,1786,0,31,0,-19,0,19,0.2
22,1786,0,31,0,-19,0,19,0.2
23,1786,0,31,0,-19,0,19,0.2
24,1786,0,31,0,-19,0,19,0.2
25,1786,0,31,0,-19,0,19,0.2
26,1786,0,31,0,-19,0,19,0.2
27,1786,0,31,0,-19,0,19,0.2
28,1786,0,31,0,-19,0,19,0.2
29,1786,0,31,0,-19,0,19,0.2
30,1786,0,31,0,-19,0,19,0.2
31,1786,0,31,0,-19,0,19,0.2
32,1786,0,31,0,-19,0,19,0.2
33,1786,0,31,0,-15,0,15,0.2
34,1786,0,31,0,-19,0,19,0.2
35,1786,0,31,0,-15,0,15,0.2
36,1786,0,31,0,-19,0,19,0.2
37,1786,0,31,0,-19,0,19,0.2
38,1786,0,31,0,-19,0,19,0.2
39,1786,0,31,0,-19,0,19,0.2
40,1786,0,31,0,-19,0,19,0.2
41,1786,0,31,0,-19,0,19,0.2
42,1786,0,31,0,-15,0,15,0.2
43,1786,0,31,0,-19,0,19,0.2
44,1786,0,31,0,-15,0,15,0.2
45,1786,0,31,0,-15,0,15,0.2
46,1786,0,31,0,-19,0,19,0.2
47,1786,0,31,0,-15,0,15,0.2
48,1786,0,31,0,-19,0,19,0.2
49,1786,0,31,0,-19,0,19,0.2
50,1786,0,31,0,-15,0,15,0.2
51,1786,0,31,0,-19,0,19,0.2
52,1786,0,31,0,-15,0,15,0.2
53,1786,0,31,0,-19,0,19,0.2
54,1786,0,31,0,-15,0,15,0.2
55,1786,0,31,0,-19,0,19,0.2
56,1786,0,31,0,-15,0,15,0.2
57,1786,0,31,0,-19,0,19,0.2
58,1786,0,31,0,-19,0,19,0.2
59,1786,0,31,0,-19,0,19,0.2
60,1786,0,31,0,-19,0,19,0.2
61,1786,0,31,0,-15,0,15,0.2
62,1786,0,31,0,-19,0,19,0.2
63,1786,0,31,0,-15,0,15,0.2
64,1786,0,31,0,-19,0,19,0.2
65,1786,0,31,0,-19,0,19,0.2
66,1786,0,31,0,-19,0,19,0.2
67,1786,0,31,0,-19,0,19,0.2
68,1786,0,31,0,-19,0,19,0.2
69,1786,0,31,0,-19,0,19,0.2
70,1786,0,31,0,-19,0,19,0.2
71,1786,0,31,0,-19,0,19,0.2
72,1786,0,31,0,-19,0,19,0.2
73,1786,0,31,0,-19,0,19,0.2
74,1786,0,31,0,-19,0,19,0.2
75,1786,0,31,0,-15,0,15,0.2
76,1786,0,31,0,-15,0,15,0.2
77,1786,0,31,0,-15,0,15,0.2
78,1786,0,31,0,-19,0,19,0.2
79,1786,0,31,0,-15,0,15,0.2
80,1786,0,31,0,-15,0,15,0.2
81,1786,0,31,0,-19,0,19,0.2
82,1786,0,31,0,-19,0,19,0.2
83,1786,0,31,0,-19,0,19,0.2
84,1786,0,31,0,-19,0,19,0.2
85,1786,0,31,0,-19,0,19,0.2
86,1786,0,31,0,-15,0,15,0.2
87,1786,0,31,0,-19,0,19,0.2
88,1786,0,31,0,-15,0,15,0.2
89,1786,0,31,0,-19,0,19,0.2
90,1786,0,31,0,-19,0,19,0.2
91,1786,0,31,0,-19,0,19,0.2
92,1786,0,31,0,-19,0,19,0.2
93,1786,0,31,0,-19,0,19,0.2
94,1786,0,31,0,-19,0,19,0.2
95,1786,0,31,0,-19,0,19,0.2
96,1786,0,31,0,-15,0,15,0.2
97,1786,0,31,0,-19,0,19,0.2
98,1786,0,31,0,-15,0,15,0.2
99,1786,0,31,0,-19,0,19,0.2
